PurchaseOrderID,PurchaseOrderDetailID,PurchaseLineNumber,LineTotal,OrderDate,DueDate,ProductID,UnitPrice,OrderQty,TaxAmt,Freight,SubTotal,ReceivedQty,RejectedQty,StockedQty,VendorID,TotalDue,PreferredVendorStatus,ActiveFlag,ModifiedDate,OrderDateKey_Purchase
1,1,1,201,2005-05-17,2005-05-31,1,50.26,4,16.0832,5.026,201.04,3,0,3,1580,222.14,True,True,2005-05-26 00:00:00,20050517
2,2,1,135,2005-05-17,2005-05-31,359,45.12,3,21.7681,6.8025,272.1015,3,0,3,1496,300.67,True,True,2005-05-26 00:00:00,20050517
2,3,2,137,2005-05-17,2005-05-31,360,45.5805,3,21.7681,6.8025,272.1015,3,0,3,1496,300.67,True,True,2005-05-26 00:00:00,20050517
3,4,1,8847,2005-05-17,2005-05-31,530,16.086,550,707.784,221.1825,8847.3,550,0,550,1494,9776.26,True,True,2005-05-26 00:00:00,20050517
4,5,1,171,2005-05-17,2005-05-31,4,57.0255,3,13.6861,4.2769,171.0765,2,1,1,1650,189.03,True,True,2005-05-26 00:00:00,20050517
5,6,1,20397,2005-05-31,2005-06-14,512,37.086,550,1631.784,509.9325,20397.3,550,0,550,1654,22539.01,True,True,2005-06-09 00:00:00,20050531
6,7,1,14628,2005-05-31,2005-06-14,513,26.5965,550,1170.246,365.7019,14628.075,468,0,468,1664,16164.02,True,True,2005-06-09 00:00:00,20050531
7,8,1,14882,2005-05-31,2005-06-14,317,27.0585,550,4694.844,1467.1388,58685.55,550,0,550,1678,64847.53,False,False,2005-06-09 00:00:00,20050531
7,9,2,18468,2005-05-31,2005-06-14,318,33.579,550,4694.844,1467.1388,58685.55,550,0,550,1678,64847.53,False,False,2005-06-09 00:00:00,20050531
7,10,3,25335,2005-05-31,2005-06-14,319,46.0635,550,4694.844,1467.1388,58685.55,550,0,550,1678,64847.53,False,False,2005-06-09 00:00:00,20050531
8,11,1,142,2005-05-31,2005-06-14,403,47.4705,3,55.4702,17.3345,693.378,3,0,3,1616,766.18,True,True,2005-06-09 00:00:00,20050531
8,12,2,136,2005-05-31,2005-06-14,404,45.3705,3,55.4702,17.3345,693.378,3,0,3,1616,766.18,True,True,2005-06-09 00:00:00,20050531
8,13,3,149,2005-05-31,2005-06-14,405,49.644,3,55.4702,17.3345,693.378,3,0,3,1616,766.18,True,True,2005-06-09 00:00:00,20050531
8,14,4,136,2005-05-31,2005-06-14,406,45.3705,3,55.4702,17.3345,693.378,3,0,3,1616,766.18,True,True,2005-06-09 00:00:00,20050531
8,15,5,130,2005-05-31,2005-06-14,407,43.2705,3,55.4702,17.3345,693.378,3,0,3,1616,766.18,True,True,2005-06-09 00:00:00,20050531
9,16,1,143,2006-01-14,2006-01-28,422,47.523,3,55.5332,17.3541,694.1655,3,0,3,1492,767.05,True,True,2006-01-23 00:00:00,20060114
9,17,2,136,2006-01-14,2006-01-28,423,45.423,3,55.5332,17.3541,694.1655,3,0,3,1492,767.05,True,True,2006-01-23 00:00:00,20060114
9,18,3,149,2006-01-14,2006-01-28,424,49.6965,3,55.5332,17.3541,694.1655,3,0,3,1492,767.05,True,True,2006-01-23 00:00:00,20060114
9,19,4,136,2006-01-14,2006-01-28,425,45.423,3,55.5332,17.3541,694.1655,3,0,3,1492,767.05,True,True,2006-01-23 00:00:00,20060114
9,20,5,130,2006-01-14,2006-01-28,426,43.323,3,55.5332,17.3541,694.1655,3,0,3,1492,767.05,True,True,2006-01-23 00:00:00,20060114
10,21,1,142,2006-01-14,2006-01-28,320,47.4705,3,143.6828,44.9009,1796.0355,3,0,3,1602,1984.61,False,True,2006-01-23 00:00:00,20060114
10,22,2,128,2006-01-14,2006-01-28,321,42.798,3,143.6828,44.9009,1796.0355,3,0,3,1602,1984.61,False,True,2006-01-23 00:00:00,20060114
10,23,3,1525,2006-01-14,2006-01-28,322,25.4205,60,143.6828,44.9009,1796.0355,60,0,60,1602,1984.61,False,True,2006-01-23 00:00:00,20060114
11,24,1,124,2006-01-14,2006-01-28,438,41.223,3,40.0957,12.5299,501.1965,3,0,3,1540,553.82,True,True,2006-01-23 00:00:00,20060114
11,25,2,136,2006-01-14,2006-01-28,439,45.4965,3,40.0957,12.5299,501.1965,3,0,3,1540,553.82,True,True,2006-01-23 00:00:00,20060114
11,26,3,124,2006-01-14,2006-01-28,440,41.223,3,40.0957,12.5299,501.1965,3,0,3,1540,553.82,True,True,2006-01-23 00:00:00,20060114
11,27,4,117,2006-01-14,2006-01-28,441,39.123,3,40.0957,12.5299,501.1965,3,0,3,1540,553.82,True,True,2006-01-23 00:00:00,20060114
12,28,1,34644,2006-01-14,2006-01-28,941,62.9895,550,2771.538,866.1056,34644.225,550,82,468,1628,38281.86,True,True,2006-01-23 00:00:00,20060114
13,29,1,136,2006-01-14,2006-01-28,320,45.3705,3,147.1604,45.9876,1839.5055,3,0,3,1604,2032.65,False,True,2006-01-23 00:00:00,20060114
13,30,2,121,2006-01-14,2006-01-28,321,40.488,3,147.1604,45.9876,1839.5055,3,0,3,1604,2032.65,False,True,2006-01-23 00:00:00,20060114
13,31,3,1582,2006-01-14,2006-01-28,322,26.3655,60,147.1604,45.9876,1839.5055,60,0,60,1604,2032.65,False,True,2006-01-23 00:00:00,20060114
14,32,1,146,2006-01-14,2006-01-28,504,48.762,3,11.7029,3.6572,146.286,3,3,0,1690,161.64,True,True,2006-01-23 00:00:00,20060114
15,33,1,103,2006-01-14,2006-01-28,497,34.188,3,8.2051,2.5641,102.564,3,0,3,1566,113.33,True,True,2006-01-23 00:00:00,20060114
16,34,1,151,2006-01-14,2006-01-28,323,50.2635,3,12.0632,3.7698,150.7905,3,0,3,1698,166.62,True,True,2006-01-23 00:00:00,20060114
17,35,1,5902,2006-01-15,2006-01-29,523,10.731,550,1093.554,341.7356,13669.425,550,0,550,1560,15104.71,True,True,2006-01-24 00:00:00,20060115
17,36,2,7767,2006-01-15,2006-01-29,524,14.1225,550,1093.554,341.7356,13669.425,550,0,550,1560,15104.71,True,True,2006-01-24 00:00:00,20060115
18,37,1,3016,2006-01-15,2006-01-29,492,50.2635,60,1311.4584,409.8308,16393.23,60,0,60,1692,18114.51,True,True,2006-01-24 00:00:00,20060115
18,38,2,3429,2006-01-15,2006-01-29,493,57.1515,60,1311.4584,409.8308,16393.23,60,0,60,1692,18114.51,True,True,2006-01-24 00:00:00,20060115
18,39,3,3192,2006-01-15,2006-01-29,494,53.2035,60,1311.4584,409.8308,16393.23,60,0,60,1692,18114.51,True,True,2006-01-24 00:00:00,20060115
