CustomerSurrogateKey,CustomerID,PersonID,ResellerID,TerritoryID,rowguid,ModifiedDate
1,1,,934,1,{3F5AE95E-B87D-4AED-95B4-C3797AFCB74F},2008-10-13 11:15:07.263000000
2,2,,1028,1,{E552F657-A9AF-4A7D-A645-C429D6E02491},2008-10-13 11:15:07.263000000
3,3,,642,4,{130774B1-DB21-4EF3-98C8-C104BCD6ED6D},2008-10-13 11:15:07.263000000
4,4,,932,4,{FF862851-1DAA-4044-BE7C-3E85583C054D},2008-10-13 11:15:07.263000000
5,5,,1026,4,{83905BDC-6F5E-4F71-B162-C98DA069F38A},2008-10-13 11:15:07.263000000
6,6,,644,4,{1A92DF88-BFA2-467D-BD54-FCB9E647FDD7},2008-10-13 11:15:07.263000000
7,7,,930,1,{03E9273E-B193-448E-9823-FE0C44AEED78},2008-10-13 11:15:07.263000000
8,8,,1024,5,{801368B1-4323-4BFA-8BEA-5B5B1E4BD4A0},2008-10-13 11:15:07.263000000
9,9,,620,5,{B900BB7F-23C3-481D-80DA-C49A5BD6F772},2008-10-13 11:15:07.263000000
10,10,,928,6,{CDB6698D-2FF1-4FBA-8F22-60AD1D11DABD},2008-10-13 11:15:07.263000000
11,11,,1022,6,{750F3495-59C4-48A0-80E1-E37EC60E77D9},2008-10-13 11:15:07.263000000
12,12,,622,6,{947BCAF1-1F32-44F3-B9C3-0011F95FBE54},2008-10-13 11:15:07.263000000
13,13,,434,7,{B0FA5854-2511-439B-A7AC-50C9C460B175},2008-10-13 11:15:07.263000000
14,14,,1020,8,{2F96BEDC-723D-468F-834B-B2B8AE79C849},2008-10-13 11:15:07.263000000
15,15,,624,9,{0340737B-D4FA-4795-93AA-CAEB8371BCF9},2008-10-13 11:15:07.263000000
16,16,,432,10,{C9381589-D31C-4EFE-8978-8D3449EB1F0F},2008-10-13 11:15:07.263000000
17,17,,1018,5,{34DB417F-1E0B-4408-9FF6-987E59D0D73C},2008-10-13 11:15:07.263000000
