CustomerID	ProductKey	OrderQuantity	UnitPrice	TotalDue
29825	776	1	2024.994	23153.23
29825	777	3	2024.994	23153.23
29825	778	1	2024.994	23153.23
29825	771	1	2039.994	23153.23
29825	772	1	2039.994	23153.23
29825	773	2	2039.994	23153.23
29825	774	1	2039.994	23153.23
29825	714	3	28.8404	23153.23
29825	716	1	28.8404	23153.23
29825	709	6	5.7	23153.23
29825	712	2	5.1865	23153.23
29825	711	4	20.1865	23153.23
29672	762	1	419.4589	1457.32
29672	758	1	874.794	1457.32
29734	745	1	809.76	36865.8
29734	743	1	714.7043	36865.8
29734	747	2	714.7043	36865.8
29734	712	4	5.1865	36865.8
29734	715	4	28.8404	36865.8
29734	742	2	722.5949	36865.8
29734	775	3	2024.994	36865.8
29734	778	2	2024.994	36865.8
29734	711	2	20.1865	36865.8
29734	741	2	818.7	36865.8
29734	776	4	2024.994	36865.8
29734	773	2	2039.994	36865.8
29734	716	2	28.8404	36865.8
29734	777	2	2024.994	36865.8
29734	708	5	20.1865	36865.8
29994	764	3	419.4589	32474.93
29994	770	5	419.4589	32474.93
29994	730	2	183.9382	32474.93
29994	754	4	874.794	32474.93
29994	725	3	183.9382	32474.93
29994	762	5	419.4589	32474.93
29994	765	3	419.4589	32474.93
29994	768	2	419.4589	32474.93
29994	753	1	2146.962	32474.93
29994	756	1	874.794	32474.93
29994	763	3	419.4589	32474.93
29994	732	1	356.898	32474.93
29994	758	6	874.794	32474.93
29994	729	1	183.9382	32474.93
29994	722	3	178.5808	32474.93
29994	749	1	2146.962	32474.93
29994	760	3	419.4589	32474.93
29994	726	1	183.9382	32474.93
29994	733	1	356.898	32474.93
29994	738	1	178.5808	32474.93
29994	766	3	419.4589	32474.93
29994	755	1	874.794	32474.93
29565	760	1	419.4589	472.31
29898	772	1	2039.994	27510.41
29898	775	4	2024.994	27510.41
29898	714	1	28.8404	27510.41
29898	716	1	28.8404	27510.41
29898	777	2	2024.994	27510.41
29898	771	3	2039.994	27510.41
29898	773	1	2039.994	27510.41
29898	778	1	2024.994	27510.41
29580	711	2	20.1865	16158.69
29580	773	1	2039.994	16158.69
29580	707	1	20.1865	16158.69
29580	715	2	28.8404	16158.69
29580	777	2	2024.994	16158.69
29580	712	2	5.1865	16158.69
29580	775	2	2024.994	16158.69
29580	778	1	2024.994	16158.69
29580	709	6	5.7	16158.69
29580	776	1	2024.994	16158.69
30052	764	1	419.4589	5694.85
30052	753	1	2146.962	5694.85
30052	732	1	356.898	5694.85
30052	756	1	874.794	5694.85
30052	768	2	419.4589	5694.85
30052	766	1	419.4589	5694.85
29974	710	3	5.7	6876.36
29974	773	1	2039.994	6876.36
29974	778	1	2024.994	6876.36
29974	775	1	2024.994	6876.36
29614	756	3	874.794	40487.72
29614	753	2	2146.962	40487.72
29614	760	7	419.4589	40487.72
29614	765	6	419.4589	40487.72
29614	715	6	28.8404	40487.72
29614	730	6	183.9382	40487.72
29614	707	2	20.1865	40487.72
29614	711	2	20.1865	40487.72
29614	754	2	874.794	40487.72
29614	712	4	5.1865	40487.72
29614	729	2	183.9382	40487.72
29614	755	3	874.794	40487.72
29614	761	3	419.4589	40487.72
29614	770	2	419.4589	40487.72
29614	726	3	183.9382	40487.72
29614	764	2	419.4589	40487.72
29614	766	2	419.4589	40487.72
29614	725	2	183.9382	40487.72
29614	716	1	28.8404	40487.72
29614	768	2	419.4589	40487.72
29614	732	4	356.898	40487.72
29614	758	6	874.794	40487.72
29614	762	4	419.4589	40487.72
29614	738	3	178.5808	40487.72
29614	714	4	28.8404	40487.72
29614	722	3	178.5808	40487.72
29614	708	1	20.1865	40487.72
29614	733	3	356.898	40487.72
29614	763	3	419.4589	40487.72
29747	747	1	714.7043	807.25
29566	710	1	5.7	6893.25
29566	709	2	5.7	6893.25
29566	773	2	2039.994	6893.25
29566	776	1	2024.994	6893.25
29890	753	1	2146.962	9153.6
29890	714	2	28.8404	9153.6
29890	756	1	874.794	9153.6
29890	768	2	419.4589	9153.6
29890	732	2	356.898	9153.6
29890	763	2	419.4589	9153.6
29890	755	2	874.794	9153.6
29890	764	2	419.4589	9153.6
29890	716	1	28.8404	9153.6
29890	711	1	20.1865	9153.6
29890	708	1	20.1865	9153.6
30067	709	6	5.7	6895.41
30067	776	2	2024.994	6895.41
30067	774	1	2039.994	6895.41
29844	754	1	874.794	4216.02
29844	715	3	28.8404	4216.02
29844	729	1	183.9382	4216.02
29844	761	2	419.4589	4216.02
29844	762	1	419.4589	4216.02
29844	738	2	178.5808	4216.02
29844	770	2	419.4589	4216.02
29844	712	1	5.1865	4216.02
29844	708	2	20.1865	4216.02
29844	711	1	20.1865	4216.02
29844	707	4	20.1865	4216.02
29596	758	3	874.794	2955.05
29827	761	4	419.4589	6434.08
29827	711	5	20.1865	6434.08
29827	738	2	178.5808	6434.08
29827	708	1	20.1865	6434.08
29827	762	2	419.4589	6434.08
29827	758	2	874.794	6434.08
29827	712	2	5.1865	6434.08
29827	754	1	874.794	6434.08
29827	715	3	28.8404	6434.08
29811	776	2	2024.994	15992.74
29811	778	2	2024.994	15992.74
29811	710	1	5.7	15992.74
29811	775	3	2024.994	15992.74
29811	709	4	5.7	15992.74
29824	715	3	28.8404	8773.68
29824	753	1	2146.962	8773.68
29824	758	1	874.794	8773.68
29824	770	1	419.4589	8773.68
29824	708	2	20.1865	8773.68
29824	760	4	419.4589	8773.68
29824	765	2	419.4589	8773.68
29824	763	1	419.4589	8773.68
29824	712	5	5.1865	8773.68
29824	707	1	20.1865	8773.68
29824	754	1	874.794	8773.68
29824	729	2	183.9382	8773.68
29889	760	1	419.4589	11036.39
29889	738	2	178.5808	11036.39
29889	765	1	419.4589	11036.39
29889	732	2	356.898	11036.39
29889	762	3	419.4589	11036.39
29889	761	2	419.4589	11036.39
29889	712	3	5.1865	11036.39
29889	708	4	20.1865	11036.39
29889	729	2	183.9382	11036.39
29889	756	1	874.794	11036.39
29889	725	2	183.9382	11036.39
29889	716	1	28.8404	11036.39
29889	770	1	419.4589	11036.39
29889	758	2	874.794	11036.39
29889	715	2	28.8404	11036.39
29889	754	1	874.794	11036.39
29889	755	1	874.794	11036.39
29889	711	3	20.1865	11036.39
29889	707	1	20.1865	11036.39
29761	760	1	419.4589	1481.17
29761	770	2	419.4589	1481.17
29761	715	2	28.8404	1481.17
29489	760	3	419.4589	12832.9
29489	756	2	874.794	12832.9
29489	738	2	178.5808	12832.9
29489	707	4	20.1865	12832.9
29489	729	1	183.9382	12832.9
29489	711	1	20.1865	12832.9
29489	715	2	28.8404	12832.9
29489	725	2	183.9382	12832.9
29489	758	1	874.794	12832.9
29489	761	1	419.4589	12832.9
29489	753	2	2146.962	12832.9
29489	708	2	20.1865	12832.9
29489	765	3	419.4589	12832.9
29489	712	3	5.1865	12832.9
29489	763	1	419.4589	12832.9
29661	715	6	28.8404	15524.06
29661	762	5	419.4589	15524.06
29661	732	1	356.898	15524.06
29661	707	1	20.1865	15524.06
29661	729	1	183.9382	15524.06
29661	708	2	20.1865	15524.06
29661	770	3	419.4589	15524.06
29661	730	2	183.9382	15524.06
29661	758	3	874.794	15524.06
29661	768	1	419.4589	15524.06
29661	761	2	419.4589	15524.06
29661	738	2	178.5808	15524.06
29661	753	1	2146.962	15524.06
29661	714	2	28.8404	15524.06
29661	764	2	419.4589	15524.06
29661	760	2	419.4589	15524.06
29661	756	1	874.794	15524.06
29661	716	2	28.8404	15524.06
29661	711	2	20.1865	15524.06
29661	725	1	183.9382	15524.06
29661	712	2	5.1865	15524.06
29759	758	2	874.794	4363.71
29759	762	1	419.4589	4363.71
29759	760	2	419.4589	4363.71
29759	770	2	419.4589	4363.71
29759	715	1	28.8404	4363.71
29497	776	2	2024.994	48204.06
29497	715	2	28.8404	48204.06
29497	773	2	2039.994	48204.06
29497	774	1	2039.994	48204.06
29497	708	1	20.1865	48204.06
29497	711	2	20.1865	48204.06
29497	712	3	5.1865	48204.06
29497	775	4	2024.994	48204.06
29497	777	6	2024.994	48204.06
29497	772	1	2039.994	48204.06
29497	707	3	20.1865	48204.06
29497	778	5	2024.994	48204.06
29497	709	6	5.7	48204.06
29912	754	2	874.794	6301.62
29912	762	2	419.4589	6301.62
29912	760	1	419.4589	6301.62
29912	758	2	874.794	6301.62
29912	770	1	419.4589	6301.62
29912	763	1	419.4589	6301.62
30084	765	3	419.4589	3082.01
30084	763	1	419.4589	3082.01
30084	754	1	874.794	3082.01
30084	725	1	183.9382	3082.01
29606	758	3	874.794	3899.67
29606	762	1	419.4589	3899.67
29606	770	1	419.4589	3899.67
29610	768	1	419.4589	1416.93
29610	765	2	419.4589	1416.93
29718	725	1	183.9382	14323.11
29718	760	2	419.4589	14323.11
29718	762	3	419.4589	14323.11
29718	738	1	178.5808	14323.11
29718	763	1	419.4589	14323.11
29718	729	2	183.9382	14323.11
29718	754	2	874.794	14323.11
29718	758	2	874.794	14323.11
29718	765	3	419.4589	14323.11
29718	770	1	419.4589	14323.11
29718	753	2	2146.962	14323.11
29646	764	3	419.4589	38291.2
29646	738	2	178.5808	38291.2
29646	725	2	183.9382	38291.2
29646	753	1	2146.962	38291.2
29646	755	2	874.794	38291.2
29646	766	4	419.4589	38291.2
29646	770	2	419.4589	38291.2
29646	760	7	419.4589	38291.2
29646	726	3	183.9382	38291.2
29646	722	1	178.5808	38291.2
29646	763	6	419.4589	38291.2
29646	729	2	183.9382	38291.2
29646	730	2	183.9382	38291.2
29646	732	2	356.898	38291.2
29646	765	5	419.4589	38291.2
29646	768	2	419.4589	38291.2
29646	761	2	419.4589	38291.2
29646	758	3	874.794	38291.2
29646	749	2	2146.962	38291.2
